"Category","Term","Genes","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact"
"UP_KW_BIOLOGICAL_PROCESS","Mitosis","7.08%","57","496","294","11523","9.29e-22","1.20e-19","4.50","1.20e-19","1.12e-19","1.74e-22"
"UP_KW_BIOLOGICAL_PROCESS","Cell cycle","11.06%","89","496","690","11523","3.72e-21","2.40e-19","3.00","4.79e-19","2.25e-19","1.13e-21"
"UP_KW_BIOLOGICAL_PROCESS","Cell division","8.32%","67","496","421","11523","1.10e-20","4.73e-19","3.70","1.42e-18","4.44e-19","2.62e-21"
"GOTERM_BP_DIRECT","cell division","7.45%","60","760","397","19478","4.60e-19","1.58e-15","3.87","1.58e-15","1.56e-15","1.05e-19"
"GOTERM_MF_DIRECT","protein binding","80.75%","650","776","13690","19253","2.59e-17","2.89e-14","1.18","2.89e-14","2.86e-14","2.18e-17"
"GOTERM_CC_DIRECT","extracellular exosome","20.50%","165","791","2242","20795","2.69e-17","1.74e-14","1.93","1.74e-14","1.58e-14","1.34e-17"
"KEGG_PATHWAY","Cell cycle","4.35%","35","426","158","8534","1.96e-13","6.26e-11","4.44","6.26e-11","5.49e-11","3.62e-14"
"GOTERM_CC_DIRECT","cytosol","37.64%","303","791","5713","20795","1.45e-11","4.69e-9","1.39","9.38e-9","4.26e-9","1.02e-11"
"GOTERM_CC_DIRECT","collagen-containing extracellular matrix","5.47%","44","791","387","20795","3.18e-10","6.83e-8","2.99","2.05e-7","6.20e-8","9.82e-11"
"UP_KW_PTM","Acetylation","28.94%","233","663","3515","14316","3.98e-10","1.19e-8","1.43","1.15e-8","9.55e-9","2.68e-10"
"UP_SEQ_FEATURE","CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in ubiquitin)","4.84%","39","789","326","20675","9.81e-10","3.86e-6","3.13","3.86e-6","3.85e-6","2.83e-10"
"UP_KW_DOMAIN","Collagen","2.61%","21","556","102","14625","1.25e-9","3.61e-8","5.42","3.61e-8","3.49e-8","1.90e-10"
"GOTERM_CC_DIRECT","collagen trimer","2.61%","21","791","102","20795","1.36e-9","2.20e-7","5.41","8.79e-7","2.00e-7","2.08e-10"
"GOTERM_CC_DIRECT","lumenal side of endoplasmic reticulum membrane","1.61%","13","791","35","20795","3.10e-9","4.00e-7","9.76","2.00e-6","3.64e-7","2.15e-10"
"GOTERM_CC_DIRECT","nucleoplasm","27.45%","221","791","4107","20795","1.43e-8","1.54e-6","1.41","9.22e-6","1.40e-6","9.88e-9"
"KEGG_PATHWAY","Phagosome","3.48%","28","426","159","8534","1.61e-8","2.57e-6","3.53","5.13e-6","2.25e-6","3.94e-9"
"UP_KW_CELLULAR_COMPONENT","Extracellular matrix","4.35%","35","748","283","18049","2.53e-8","1.31e-6","2.98","1.31e-6","9.35e-7","7.72e-9"
"GOTERM_BP_DIRECT","DNA replication initiation","1.37%","11","760","27","19478","3.52e-8","6.03e-5","10.44","1.21e-4","5.97e-5","2.19e-9"
"UP_SEQ_FEATURE","COMPBIAS:Pro residues","16.27%","131","789","2133","20675","3.68e-8","7.24e-5","1.61","1.45e-4","7.22e-5","2.15e-8"
"UP_KW_CELLULAR_COMPONENT","Centromere","2.98%","24","748","150","18049","5.62e-8","1.46e-6","3.86","2.92e-6","1.04e-6","1.27e-8"
"GOTERM_CC_DIRECT","membrane","33.91%","273","791","5415","20795","6.03e-8","5.55e-6","1.33","3.89e-5","5.04e-6","4.43e-8"
