,log2FoldChange,pvalue,padj,significant,mean_log2_expression
TSPAN6,0.4182482304744135,0.04733512103847018,0.12027445538966708,False,2.8312723305708047
TNMD,0.48857903618949644,0.015290906551794839,0.055599801373498264,False,0.49544089070553043
DPM1,-0.4247679012243255,0.1440738872866293,0.26560917155391517,False,2.5379563520673276
SCYL3,-0.4694505172919414,0.0020239826893861763,0.013000118539278826,False,2.8069324951943737
C1orf112,-0.30743436880987707,0.1048080921215422,0.21100385171294003,False,3.1114316088813934
FGR,-0.12022439641487415,0.6629459351342871,0.7858315809560174,False,2.94270470894216
CFH,0.9254458056494914,0.0012204475114952166,0.008985156479175329,False,3.398336007242029
FUCA2,-0.5188863402356731,0.03745521843797489,0.10208624947428646,False,3.7174757230120643
GCLC,0.1933461885722032,0.32960702558481614,0.48161378293611423,False,4.409459578285069
NFYA,-0.5355202503874197,0.08058775266749116,0.17468732767730472,False,3.658001590920412
STPG1,0.2120704570396823,0.2618820925218063,0.40923624924332275,False,2.7417523708300626
NIPAL3,-0.20341832333237253,0.38481143895914316,0.5377108422366493,False,3.789299412678444
LAS1L,-0.05776706605478177,0.783334483002773,0.8795136392454604,False,3.8376282815755283
ENPP4,0.17098282376204987,0.30341083263275886,0.454420455502503,False,1.117022539560596
SEMA3F,-0.1331049825850661,0.6487072058518741,0.7743485696407667,False,4.223065866286629
CFTR,-0.04355039070169142,0.8907649785152841,0.9565305905919403,False,2.014641001253454
ANKIB1,-0.27818906499444696,0.3824094810491907,0.5353151042883161,False,4.135833004471189
CYP51A1,0.15388476242312876,0.4631825382643593,0.613745545486827,False,4.40890935213703
KRIT1,-0.2469017895219947,0.2931110502001201,0.44319091279698525,False,4.723986847517395
RAD52,-0.12366011702684832,0.646430616904446,0.7723596500352561,False,3.6601240167145956
BAD,-0.8542957886125331,0.02037740161327533,0.06719232460299224,False,4.360915329571467
LAP3,-0.5081312779799783,0.0963740562678168,0.19825128461676678,False,4.782798645712465
CD99,0.03361367103804458,0.9202749871880006,0.9777002113503819,False,6.343053993183541
HS3ST1,-0.36434471438410254,0.16169394882544535,0.28863125444542115,False,2.5763311667122175
AOC1,-0.03553982115864196,0.8483266581442512,0.9274879317846695,False,1.353628262480892
WNT16,1.043585325832103,0.0001287862677369786,0.0017176592731244194,True,0.7716014966868241
HECW1,0.5315155800694951,0.08975083483184854,0.18843673151566995,False,1.8969749139933292
MAD1L1,-0.1969290130276704,0.2940701684713945,0.44404419979652837,False,4.8826464426656795
LASP1,-0.5092153843310099,0.01314167528854834,0.050277089548743326,False,5.86294172531917
SNX11,-0.41812318033251294,0.09292738917649121,0.1930837357622374,False,4.504431123432643
TMEM176A,-0.292133781131521,0.28320798430949745,0.43274180002491214,False,4.614251391232143
M6PR,-0.5046947122156249,0.12056929985219705,0.2332825181443551,False,5.760897153148024
KLHL13,1.1087569665667139,1.986379963142053e-05,0.00040793684530749606,True,1.7667493886742087
CYP26B1,0.041456731878751985,0.8878332866072134,0.9540909087393652,False,2.8941245970565443
ICA1,-0.10775086146625057,0.7269055801647928,0.8363392143290411,False,3.932301064221294
DBNDD1,-1.9103090253207284,5.778776046309851e-10,8.999776910276094e-08,True,3.3930317118854183
ALS2,0.3775732722930534,0.05605904942593127,0.13512443168350308,False,3.2372350112583197
CASP10,-0.060058287515448505,0.7914866973602055,0.8854078927768692,False,4.041639740773241
CFLAR,0.14591598579965837,0.32030245502532345,0.47214004400747717,False,7.133764043540002
TFPI,1.369719312854313,2.1307756038654514e-07,1.0547599725149127e-05,True,4.887107702090628
NDUFAF7,-0.26174494557144357,0.0819962712901796,0.17688856093123057,False,3.0358896497625776
RBM5,0.5105971077392439,0.006789671064754621,0.031600923718018724,False,6.596049519223866
MTMR7,0.25930717910836343,0.1638271906089734,0.29118122211125236,False,1.438653108477322
SLC7A2,2.0111860041077643,1.0519490684139582e-09,1.4688110923523447e-07,True,2.6652904943664786
ARF5,-1.0400778555818162,0.0018450671432568542,0.012159905397909593,True,5.825611816519654
SARM1,-0.04786475329226558,0.8728003724982984,0.9439989498157246,False,3.2394836657774166
POLDIP2,-0.5512969584189249,0.057786541614511584,0.13814456506404552,False,4.073641167592959
PLXND1,-0.3924940809414075,0.04313283651121678,0.11309745727951487,False,6.488212116579579
AK2,-0.36456210741978445,0.19310645865598733,0.32782436373881596,False,5.409304352499353
CD38,-0.5180302815661433,0.05945043184399122,0.14079477010604638,False,2.368627906094895
FKBP4,-1.0619566603031467,0.0006354358551546604,0.0055716909153145314,True,5.5017855046068815
KDM1A,-0.20397606703697324,0.438997887076501,0.5902869908846942,False,4.171923663956435
RBM6,0.7276949454988442,6.473832509338607e-05,0.0010247788349028101,False,6.097993286721466
CAMKK1,0.21598092939633462,0.3600937251182702,0.5124021337323937,False,3.972303975600545
RECQL,-0.3614929207742863,0.06634834403855062,0.15212781125758731,False,2.66033501312453
CCDC132,0.2150467564310219,0.2547704516941843,0.4013935179573852,False,3.396632583228391
HSPB6,2.2821802350481715,7.171716170066379e-07,2.957200928292544e-05,True,4.7252741542124514
ARHGAP33,-0.727868726770553,0.009102885552676274,0.038947011352551485,False,4.3651270081019655
NDUFAB1,-0.8173181391191289,0.00997376914671959,0.041514993861941775,False,4.027717575419686
PDK4,1.5844949136394049,0.00018086549703453598,0.002226019971404994,True,3.930711957506254
SLC22A16,0.4868916182601357,0.07544810771236715,0.1668693892008505,False,0.6646939884117005
ZMYND10,0.01515938455935828,0.9411124026094885,0.9920733991060972,False,2.114719708457922
ABCB5,0.40419892573330696,0.060735971144795606,0.14295053148076398,False,2.2398400851777684
ARX,0.13372717418814437,0.345699654156436,0.4977292185910499,False,0.3051420904313182
SLC25A13,-0.529249177926006,0.008191632616765337,0.03601305651403683,False,3.054486685976985
ST7,-0.05646059862473596,0.7875397912988541,0.8826688781353299,False,3.375531088632297
CDC27,1.2430379391446502,0.0037860990895333853,0.0206947522048307,True,5.108227471080071
SLC4A1,0.6185217490263938,0.020955942514539215,0.06853077243569067,False,0.509713456958828
CALCR,0.2753574887098814,0.020574348449532653,0.06767640271474218,False,0.23077265050548942
