,log2FoldChange,pvalue,padj,significant,mean_log2_expression
CCDC177,3.5307495956403256,4.0566474138269573e-29,8.213088354034058e-25,True,2.7831854319100713
DEFB130,3.94189261698843,2.1784673299644483e-22,2.205262478123011e-18,True,2.762653798290842
KLK9,3.420770337913524,4.732818703420635e-22,2.3955161867363543e-18,True,2.9291512214897537
UGT2A1,2.2299255273674623,4.567050156251898e-22,2.3955161867363543e-18,True,3.056062442309772
TMEM239,1.9402282817915506,4.1974834623796395e-20,1.6996450035867635e-16,True,2.6543341991238942
LCN6,3.5313957621118743,1.463142362013577e-19,4.93713004355448e-16,True,4.148372142349887
MDGA2,2.7523727047652495,4.464655108387022e-19,1.2913058189200522e-15,True,3.4909648049982516
MFRP,2.229932085559955,2.8833807223820577e-18,7.297115763168392e-15,True,1.8069752972110575
ZNF788,1.4672904047090451,1.4590597090250427e-17,3.282235874324557e-14,True,9.043716013636676
MYBL2,-2.8500065417146447,7.350298930619143e-17,1.4881415214931517e-13,True,2.865390480401561
SOX7,2.9415016671399323,1.5822225105777824e-16,2.9121524499234347e-13,True,5.654499806932541
TMEM236,1.3944965832082383,2.5703031433649575e-16,4.336529786713911e-13,True,6.146573045009441
E2F1,-2.128107746771087,5.48606977799505e-16,8.543920671175982e-13,True,2.752565607546607
ABCA8,2.1919509288059826,1.869275041626774e-15,2.703238749483976e-12,True,3.7643048988820245
SOGA3,1.876965896547131,4.910591147994703e-15,6.474116038350845e-12,True,4.549754903801886
OC90,2.882672651238649,5.413661717007196e-15,6.474116038350845e-12,True,3.9825022894059052
MMP11,-3.558342928888499,5.436134182157679e-15,6.474116038350845e-12,True,5.046575573196696
HIST2H3A,-3.146257385415568,1.1479153762024788e-14,1.1620347353297692e-11,True,4.203049525149643
HIST2H3C,-3.146257385415568,1.1479153762024788e-14,1.1620347353297692e-11,True,4.203049525149643
RNASE11,3.419163541768014,1.0433740529726784e-14,1.1620347353297692e-11,True,1.8606269240515458
LIMS3,3.538422159631894,2.773603106464409e-14,2.6740175473084962e-11,True,5.310001547241977
ANKRD29,1.6966218582484736,3.105799716417827e-14,2.8581827753906968e-11,True,2.6773449478630607
NTRK2,2.4188790097325126,4.306368818374571e-14,3.7907279607309376e-11,True,3.142840652054674
KRT222,2.293932089871203,4.6653588561266027e-14,3.935618975047467e-11,True,3.035880520452369
RAI2,1.724260418546486,5.209539687109732e-14,4.05662848097014e-11,True,2.6179873409498313
ARHGAP6,1.524072761812877,5.126155564677677e-14,4.05662848097014e-11,True,1.959995841307253
ABCA9,1.586269661571396,9.402160120580698e-14,7.050227177825067e-11,True,3.104483091947186
TK1,-2.461874321252364,1.0345995913869173e-13,7.480894045435545e-11,True,3.8838426538725828
ZNF709,1.7738447733050515,1.1419170575748639e-13,7.972156119882997e-11,True,5.322773096040043
H2AFX,-1.7896633577846663,1.4416462907987915e-13,9.729190267837445e-11,True,4.592687108946169
FGF10,2.276331474022003,2.136030709690284e-13,1.3923019041328002e-10,True,2.26454022075514
PITX1,-2.4332854374051784,2.2006154762545495e-13,1.3923019041328002e-10,True,2.912330313079579
GOLGA7B,2.922624378707392,3.242474317880477e-13,1.9893071224184285e-10,True,4.986717535775537
CLSTN2,1.616579568517294,3.3910629897474436e-13,2.0192782732478454e-10,True,2.311279769371697
FAT4,1.604070816741474,4.3787349198032344e-13,2.5329104910381793e-10,True,2.3230396701706595
MUC3A,2.9108358984823846,6.192365739846089e-13,3.4525830888328024e-10,True,5.359298910146531
CLN3,1.3295738727858097,6.30966977609472e-13,3.4525830888328024e-10,True,10.763699448521077
ABCA10,1.9417695274890976,7.617454343210853e-13,4.058499490332814e-10,True,2.9781420196470703
NOVA1,2.3990612583906783,1.0160754410845541e-12,5.274734200050739e-10,True,2.543511984094239
CDRT1,2.800781901703029,1.052400237871697e-12,5.326723803987594e-10,True,4.851581572673761
SPTBN4,1.4726154644288665,1.1103856148019358e-12,5.483138331043901e-10,True,1.754689597068171
NUSAP1,-2.1648525074600196,1.2363560474714074e-12,5.95982488978717e-10,True,3.468112851082007
CACNA1G,1.9981288073437362,1.4810178188030874e-12,6.973182967322629e-10,True,1.6715577231141172
FAM47E-STBD1,2.4562037375692545,1.7892604820624754e-12,8.233038118144745e-10,True,5.19287883408949
ANK2,2.411378861527332,1.9025683392372165e-12,8.559866354710374e-10,True,4.2659765951021384
